編號,行政區,門牌,交易日,建物型態,主要用途,樓層,總樓層,交易時屋齡,總價(萬),有車位,車位價(萬),車位(坪),車位可拆分,總坪,主建物(坪),附屬+陽台(坪),共有部分(坪),①扣車位建坪單價,②÷主建物,③÷主+附,含車位單價(僅參考),備註標記,備註原文,來源檔
RPSNMLKLJHLGFFA57DA,大安區,大安區敦化南路一段295巷52號五樓,2025-11-27,華廈,住家用,5,7,48.7,3000,無,,,是,30.976,27.1554,3.8206,0,96.85,110.48,96.85,96.85,特殊關係,親友、員工、共有人或其他特殊關係間之交易；,a_115S1.csv
RPPNMLKMKIKGFDA37EA,信義區,信義區光復南路561號九樓之1,2025-11-24,住宅大樓,住家用,9,12,37,1600,無,,,是,20.08,13.2162,3.63,3.2337,79.68,121.06,94.98,79.68,,,a_115S1.csv
RPOOMLQJJHLGFFA67DA,大安區,大安區忠孝東路四段233號七樓之2,2025-11-24,住宅大樓,住家用,7,11,42.9,1650,無,,,是,13.5792,10.6843,0,2.8949,121.51,154.43,154.43,121.51,,,a_115S1.csv
RPUNMLTLKIKGFDA58DA,信義區,信義區光復南路567號十八樓之6,2025-11-24,住宅大樓,住家用,18,18,17.2,1650,無,,,是,13.0045,7.8499,0.5838,4.5708,126.88,210.19,195.64,126.88,含增建/未登記、頂樓,陽台外推；夾層；,a_115S1.csv
RPROMLMLKIKGFDA67DA,信義區,信義區基隆路一段380巷26號十二樓之1,2025-11-23,住宅大樓,住家用,12,12,42.2,2300,無,,,是,26.4355,16.8553,2.1871,7.3931,87,136.46,120.78,87,含增建/未登記、頂樓,陽台外推；其他增建；,a_115S1.csv
RPROMLPKKIKGFFA08DA,大安區,大安區延吉街131巷9號二樓,2025-11-21,華廈,住家用,2,7,44.5,3600,無,,,是,43.8807,31.6022,7.0483,5.2302,82.04,113.92,93.14,82.04,,,a_115S1.csv
RPSNMLKMKIKGFDA57DA,信義區,信義區吳興街50巷6號三樓,2025-11-21,公寓,住家用,3,4,53.2,2308,無,,,是,31.581,31.581,0,0,73.08,73.08,73.08,73.08,其他備註,天井加蓋,a_115S1.csv
RPWQMLOJKHLGFFA58DA,大安區,大安區光復南路116巷22號四樓,2025-11-19,華廈,住家用,4,6,40.2,3850,無,,,是,38.3691,27.2795,4.1715,6.9182,100.34,141.13,122.41,100.34,,,a_115S1.csv
RPTNMLOKJHLGFFA97DA,大安區,大安區仁愛路四段112巷50號七樓之1,2025-11-19,華廈,住家用,7,7,43.4,4100,無,,,是,43.0458,37.2136,4.2864,1.5458,95.25,110.17,98.8,95.25,含增建/未登記、頂樓,土地價格:39707223元整，建物價格:1292777元整。陽台外推；其他增建；,a_115S1.csv
RPXNMLMLKIKGFFA38DA,大安區,大安區臨江街87號五樓,2025-11-19,華廈,商業用,5,8,26.2,1030.0888,無,,,是,42.7796,24.8262,4.0868,13.8666,24.08,41.49,35.63,24.08,含增建/未登記,建物坐落地號：通化段二小段388地號；其他增建；,a_115S1.csv
RPPNMLPLJHLGFFA77DA,大安區,大安區安和路一段112巷25號六樓,2025-11-17,華廈,住家用,6,7,43.2,5100,無,,,是,53.0464,44.7912,6.4886,1.7666,96.14,113.86,99.45,96.14,,,a_115S1.csv
